doi,title,authors,published,url,journal,has_fulltext,is_oa,downloaded,path,data_links,data_availability_statements,code_availability_statements,format,repository,repository_url,download_status,data_download_path,data_size,number_of_files,license
10.1007/s00248-023-02291-x,Impacts of Thermal Drainage on Bacterial Diversity and Community Construction in Tianwan Nuclear Power Plant,"Nannan Liu, Zhifa Huang, Yaowei Fang, Zhiguo Dong",2023-09-09,https://doi.org/10.1007/s00248-023-02291-x,Microbial Ecology,False,False,False,,[],,,,,,False,,,0,
10.1002/ecs2.3771,Forest disturbance and arthropods: small‐scale canopy and understory disturbances alter movement of mobile arthropods,"Kayla I. Perry, Frances S. Sivakoff, Kimberly F. Wallin, John W. Wenzel, Daniel A. Herms",2021-11-01,https://doi.org/10.1002/ecs2.3771,Ecosphere,False,False,False,,[],,,,,,False,,,0,
10.1007/s10530-021-02645-x,Risks of giant hogweed (Heracleum mantegazzianum) range increase in North America,"Kim Cuddington, Stephanie Sobek-Swant, John E. Drake, Wade Lee, Madison E. Brook",2021-11-03,https://doi.org/10.1007/s10530-021-02645-x,Biological Invasions,False,False,False,,[],,,,,,False,,,0,
10.1007/s00265-019-2698-4,Elevation affects extra-pair paternity but not a sexually selected plumage trait in dark-eyed juncos,"Katie LaBarbera, Kia R. R. Hayes, Kelley E. Langhans, Eileen A. Lacey",2019-05-26,https://doi.org/10.1007/s00265-019-2698-4,Behavioral Ecology and Sociobiology,False,False,False,,[],,,,,,False,,,0,
10.1093/sysbio/syq048,Combining Phylogenomics and Fossils in Higher-Level Squamate Reptile Phylogeny: Molecular Data Change the Placement of Fossil Taxa,"John J. Wiens, Caitlin A. Kuczynski, Ted M. Townsend, Tod W. Reeder, Daniel G. Mulcahy, Jack W. Sites",2010-10-07,https://doi.org/10.1093/sysbio/syq048,Systematic Biology,False,False,False,,[],,,,,,False,,,0,
10.1007/s00248-018-1218-9,An Uncharacterized Member of the Gls24 Protein Superfamily Is a Putative Sensor of Essential Amino Acid Availability in Streptococcus pneumoniae,"María-José Ferrándiz, María I. Cercenado, Mirian Domenech, Jose M. Tirado-Vélez, María S. Escolano-Martínez, José Yuste, Ernesto Garcı́a, Adela G. de la Campa, Antonio J. Martín-Galiano",2018-07-05,https://doi.org/10.1007/s00248-018-1218-9,Microbial Ecology,False,False,False,,[],,,,,,False,,,0,
10.1046/j.1472-4642.2003.00024.x,Comparative phylogeography of salmonid fishes (Salmonidae) reveals late to post‐Pleistocene exchange between three now‐disjunct river basins in Siberia,"Elsa Froufe, S. S. Alekseyev, I. B. Knizhin, Paulo Alexandrino, Steven Weiss",2003-07-01,https://doi.org/10.1046/j.1472-4642.2003.00024.x,Diversity and Distributions,False,False,False,,[],,,,,,False,,,0,
10.1007/s10980-022-01426-8,Movement range corresponds to scale of effect for single scale models but not for individual variables within models,"Elly C. Knight, Péter Sólymos, Mark Brigham, Erin M. Bayne",2022-03-16,https://doi.org/10.1007/s10980-022-01426-8,Landscape Ecology,False,False,False,,[],,,,,,False,,,0,
10.1086/600082,A Statistical Approach for Distinguishing Hybridization and Incomplete Lineage Sorting,"Simon Joly, Patricia A. McLenachan, Peter J. Lockhart",2009-06-11,https://doi.org/10.1086/600082,The American Naturalist,False,False,False,,[],,,,,,False,,,0,
10.1111/evo.12134,EXAMINING THE FULL EFFECTS OF LANDSCAPE HETEROGENEITY ON SPATIAL GENETIC VARIATION: A MULTIPLE MATRIX REGRESSION APPROACH FOR QUANTIFYING GEOGRAPHIC AND ECOLOGICAL ISOLATION,Ian Wang,2013-04-23,https://doi.org/10.1111/evo.12134,Evolution,False,False,False,,[],,,,,,False,,,0,
10.1007/s00239-013-9552-5,"Molecular Phylogeny and Evolution of the Proteins Encoded by Coleoid (Cuttlefish, Octopus, and Squid) Posterior Venom Glands","Tim Ruder, Kartik Sunagar, Eivind A. B. Undheim, Syed Abid Ali, Tak-Cheung Wai, Dolyce H. W. Low, Timothy N. W. Jackson, Glenn F. King, Agostinho Antunes, Bryan G. Fry",2013-03-02,https://doi.org/10.1007/s00239-013-9552-5,Journal of Molecular Evolution,False,False,False,,[],,,,,,False,,,0,
10.1007/s00606-011-0547-7,Phylogenetic assessment and biogeographic analyses of tribe Peracarpeae (Campanulaceae),"Zhuo Zhou, Jun Wen, Guodong Li, Hang Sun",2011-10-27,https://doi.org/10.1007/s00606-011-0547-7,Plant Systematics and Evolution,False,False,False,,[],,,,,,False,,,0,
10.1007/s11252-014-0419-3,"The influence of personal belief, agency mission and city size on open space decision making processes in three southwestern cities","Megan M. Friggens, Carol Raish, Deborah M. Finch, Alice M. McSweeney",2014-09-13,https://doi.org/10.1007/s11252-014-0419-3,Urban Ecosystems,False,False,False,,[],,,,,,False,,,0,
10.1111/syen.12432,"Molecular phylogeny of the tribe Candalidini (Lepidoptera: Lycaenidae): systematics, diversification and evolutionary history","Michael F. Braby, Marianne Espeland, Chris Müller, Rod Eastwood, David J. Lohman, Akito Y. Kawahara, Sarah C. Maunsell, Naomi E. Pierce",2020-06-02,https://doi.org/10.1111/syen.12432,Systematic Entomology,False,False,False,,[],,,,,,False,,,0,
10.1017/S0266467410000611,Successional trends in soil seed banks of abandoned pastures of a Neotropical dry region,"Susana Maza‐Villalobos, Celina Lemus-Herrera, Miguel Martínez‐Ramos",2010-12-17,https://doi.org/10.1017/s0266467410000611,Journal of Tropical Ecology,False,False,False,,[],,,,,,False,,,0,
10.1890/05-0380,DOES PLANT SPECIES CO-OCCURRENCE INFLUENCE SOIL MITE DIVERSITY?,"Mark G. St. John, Diana H. Wall, Valerie M. Behan‐Pelletier",2006-03-01,https://doi.org/10.1890/05-0380,Ecology,False,False,False,,[],,,,,,False,,,0,
